L,N,prefill_median_ms,prefill_iqr_ms,n_reps,kv_bytes_per_token_per_layer_measured,peak_rss_kb_isolated
7,128,236.0984495000448,5.536481749382801,10,8192.0,
7,512,740.9939610001165,12.941147250006907,10,8192.0,
7,1024,1443.0691194999963,42.81286525039468,10,8192.0,
7,2048,3127.879334000172,257.13429499964695,10,8192.0,4754568
14,128,448.33520349976607,5.989516750094481,10,8192.0,
14,512,1409.5609625000507,23.54197925014887,10,8192.0,
14,1024,2738.185123999836,15.260124750202522,10,8192.0,
14,2048,5803.5310519996565,58.27480024949182,10,8192.0,4754568
28,128,893.7624975000508,10.987959999940358,10,8192.0,
28,512,2784.803893999895,21.809237750130706,10,8192.0,
28,1024,5460.574742500205,76.40564725047443,10,8192.0,
28,2048,11484.946761999978,68.44759424962103,10,8192.0,4754624
