fault,magnitude,baseline_split,fault_split,optimum_moved,stay_bottleneck_ms,adapt_bottleneck_ms,predicted_benefit_ms,predicted_benefit_pct,note
thermal,speed=1.0,0-14/14-28,0-14/14-28,false,42.5000,42.5000,0.0000,0.0000,
thermal,speed=0.9,0-14/14-28,0-15/15-28,true,47.1667,45.0000,2.1667,4.5936,
thermal,speed=0.8,0-14/14-28,0-16/16-28,true,53.0000,48.0000,5.0000,9.4340,
thermal,speed=0.7,0-14/14-28,0-17/17-28,true,60.5000,51.0000,9.5000,15.7025,
thermal,speed=0.6,0-14/14-28,0-18/18-28,true,70.5000,54.0000,16.5000,23.4043,
thermal,speed=0.5,0-14/14-28,0-19/19-28,true,84.5000,57.0000,27.5000,32.5444,
thermal,speed=0.4,0-14/14-28,0-20/20-28,true,105.5000,60.5000,45.0000,42.6540,
thermal,speed=0.3,0-14/14-28,0-22/22-28,true,140.5000,66.0000,74.5000,53.0249,
thermal,speed=0.2,0-14/14-28,0-24/24-28,true,210.5000,72.0000,138.5000,65.7957,
thermal,speed=0.1,0-14/14-28,0-26/26-28,true,420.5000,78.0000,342.5000,81.4507,
network,delay=0ms,0-14/14-28,0-14/14-28,false,42.5000,42.5000,0.0000,0.0000,
network,delay=5ms,0-14/14-28,0-15/15-28,true,47.0000,45.0000,2.0000,4.2553,
network,delay=10ms,0-14/14-28,0-16/16-28,true,52.0000,48.0000,4.0000,7.6923,
network,delay=20ms,0-14/14-28,0-17/17-28,true,62.0000,53.0000,9.0000,14.5161,
network,delay=40ms,0-14/14-28,0-21/21-28,true,82.0000,63.0000,19.0000,23.1707,
network,delay=80ms,0-14/14-28,0-27/27-28,true,122.0000,83.0000,39.0000,31.9672,
network,delay=120ms,0-14/14-28,0-28/28-28,true,162.0000,84.0000,78.0000,48.1481,
network,delay=200ms,0-14/14-28,0-28/28-28,true,242.0000,84.0000,158.0000,65.2893,
device loss,2->1 workers,0-14/14-28,0-28,true,0.0000,84.0000,0.0000,0.0000,"not optional: the baseline split is unservable, so 'stay' has no defined cost"
