fault,magnitude,baseline_split,fault_split,optimum_moved,stay_bottleneck_ms,adapt_bottleneck_ms,predicted_benefit_ms,predicted_benefit_pct,note
thermal,speed=1.0,0-17/17-28,0-17/17-28,false,123.2800,123.2800,0.0000,0.0000,
thermal,speed=0.9,0-17/17-28,0-18/18-28,true,136.9222,129.3300,7.5922,5.5449,
thermal,speed=0.8,0-17/17-28,0-19/19-28,true,153.9750,136.5100,17.4650,11.3428,
thermal,speed=0.7,0-17/17-28,0-20/20-28,true,175.9000,145.1286,30.7714,17.4937,
thermal,speed=0.6,0-17/17-28,0-21/21-28,true,205.1333,157.2667,47.8667,23.3344,
thermal,speed=0.5,0-17/17-28,0-23/23-28,true,246.0600,165.2300,80.8300,32.8497,
thermal,speed=0.4,0-17/17-28,0-25/25-28,true,307.4500,179.5900,127.8600,41.5872,
thermal,speed=0.3,0-17/17-28,0-27/27-28,true,409.7667,193.9500,215.8167,52.6682,
thermal,speed=0.2,0-17/17-28,0-28/28-28,true,614.4000,244.9300,369.4700,60.1351,
thermal,speed=0.1,0-17/17-28,0-28/28-28,true,1228.3000,244.9300,983.3700,80.0594,
network,delay=0ms,0-17/17-28,0-17/17-28,false,123.2800,123.2800,0.0000,0.0000,
network,delay=5ms,0-17/17-28,0-17/17-28,false,127.7800,127.7800,0.0000,0.0000,
network,delay=10ms,0-17/17-28,0-18/18-28,true,132.7800,129.3300,3.4500,2.5983,
network,delay=20ms,0-17/17-28,0-18/18-28,true,142.7800,135.6000,7.1800,5.0287,
network,delay=40ms,0-17/17-28,0-20/20-28,true,162.7800,143.6900,19.0900,11.7275,
network,delay=80ms,0-17/17-28,0-23/23-28,true,202.7800,165.2300,37.5500,18.5176,
network,delay=120ms,0-17/17-28,0-25/25-28,true,242.7800,185.3400,57.4400,23.6593,
network,delay=200ms,0-17/17-28,0-28/28-28,true,322.7800,244.9300,77.8500,24.1186,
device loss,2->1 workers,0-17/17-28,0-28,true,0.0000,244.9300,0.0000,0.0000,"not optional: the baseline split is unservable, so 'stay' has no defined cost"
